Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,LEEDON PARK,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
OPEN SPACE,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
COMMERCIAL,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,NASSIM,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
PARK,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
PARK,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,MultiPolygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
PARK,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
COMMERCIAL,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,SERANGOON GARDEN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
COMMERCIAL,CENTRAL REGION,INSTITUTION HILL,RIVER VALLEY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
UTILITY,NORTH-EAST REGION,CHONG BOON,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,CHONG BOON,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,CHONG BOON,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
PORT / AIRPORT,EAST REGION,XILIN,TAMPINES,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,CHONG BOON,ANG MO KIO,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,DUNEARN,NOVENA,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CORONATION ROAD,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,ULU PANDAN,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
